ID,Name,Description,Category ID,Category Name,Price,Size,Available,Image URL,Popular,Preparation Time,Category EN,Category AZ,Category RU,Category TR,Category AR,Category HI,Category FR,Category IT,Name EN,Name AZ,Name RU,Name TR,Name AR,Name HI,Name FR,Name IT,Description EN,Description AZ,Description RU,Description TR,Description AR,Description HI,Description FR,Description IT,Created At,Updated At
11,Spinach Suzma,,,APPETIZERS,6.90,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,APPETIZERS,QƏLYANALTlLAR,ЗАКУСКИ,MEZELER,المقبلات,स्टार्टर्स,ENTRÉES,ANTIPASTI,Spinach Suzma,İspanaqlı süzmə,Шпинатная сюзьма,Ispanaklı süzme,سبانخ سوزما,पालक सूज़मा,Suzma aux épinards,Spinaci suzma,,,,,,,,,,
12,Pasha Ezme,,,APPETIZERS,6.90,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,APPETIZERS,QƏLYANALTlLAR,ЗАКУСКИ,MEZELER,المقبلات,स्टार्टर्स,ENTRÉES,ANTIPASTI,Pasha Ezme,Paşa əzmə,Паша эзме,Paşa ezme,باشا إزمه,पाशा एज़्मे,Pasha ezme,Pasha ezme,,,,,,,,,,
13,Mutabbal,,,APPETIZERS,6.90,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,APPETIZERS,QƏLYANALTlLAR,ЗАКУСКИ,MEZELER,المقبلات,स्टार्टर्स,ENTRÉES,ANTIPASTI,Mutabbal,Mütəbbəl,Мутаббаль,Mütebbal,متبل,मुतब्बल,Moutabal,Mutabbal,,,,,,,,,,
14,Humus,,,APPETIZERS,6.90,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,APPETIZERS,QƏLYANALTlLAR,ЗАКУСКИ,MEZELER,المقبلات,स्टार्टर्स,ENTRÉES,ANTIPASTI,Humus,Humus,Хумус,Humus,حمص,हुमस,Houmous,Hummus,,,,,,,,,,
15,Sandwich,,,APPETIZERS,10.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,APPETIZERS,QƏLYANALTlLAR,ЗАКУСКИ,MEZELER,المقبلات,स्टार्टर्स,ENTRÉES,ANTIPASTI,Sandwich,Kruasan sendviç,Сэндвич с круассаном,Kruvasan sandviç,ساندويتش كرواسان,क्रोइसैंट सैंडविच,Sandwich croissant,Sandwich croissant,,,,,,,,,,
16,Cheese Platter,,,APPETIZERS,22.50,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,APPETIZERS,QƏLYANALTlLAR,ЗАКУСКИ,MEZELER,المقبلات,स्टार्टर्स,ENTRÉES,ANTIPASTI,Cheese Platter,Pendir assorti,Сырная тарелка,Peynir tabağı,طبق الأجبان,पनीर थाली,Plateau de fromages,Tagliere di formaggi,,,,,,,,,,
17,Snack Platter,,,APPETIZERS,18.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,APPETIZERS,QƏLYANALTlLAR,ЗАКУСКИ,MEZELER,المقبلات,स्टार्टर्स,ENTRÉES,ANTIPASTI,Snack Platter,Assorti qəlyanalti,Ассорти закусок,Meze tabağı,طبق وجبات خفيفة مشكلة,स्नैक प्लेटर,Plateau d'amuse-bouches,Piatto di stuzzichini misti,,,,,,,,,,
18,Onion Rings,,,APPETIZERS,13.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,APPETIZERS,QƏLYANALTlLAR,ЗАКУСКИ,MEZELER,المقبلات,स्टार्टर्स,ENTRÉES,ANTIPASTI,Onion Rings,Qızardılmış soğan halqaları,Луковые кольца,Kızarmış soğan halkaları,حلقات البصل المقلية,तले हुए प्याज के छल्ले,Rondelles d'oignon frites,Anelli di cipolla fritti,,,,,,,,,,
19,Cheese Sticks,,,APPETIZERS,16.50,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,APPETIZERS,QƏLYANALTlLAR,ЗАКУСКИ,MEZELER,المقبلات,स्टार्टर्स,ENTRÉES,ANTIPASTI,Cheese Sticks,Pendir çubuqları,Сырные палочки,Peynir çubukları,أصابع الجبن,पनीर स्टिक्स,Bâtonnets de fromage,Bastoncini di formaggio,,,,,,,,,,
20,Shrimps Tempura,,,APPETIZERS,18.70,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,APPETIZERS,QƏLYANALTlLAR,ЗАКУСКИ,MEZELER,المقبلات,स्टार्टर्स,ENTRÉES,ANTIPASTI,Shrimps Tempura,Krevetlər klyarda,Креветки в темпуре,Karides tempura,روبيان تمبورا,झींगा टेम्पुरा,Crevettes tempura,Gamberetti in tempura,,,,,,,,,,
21,Chicken Nuggets,,,APPETIZERS,13.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,APPETIZERS,QƏLYANALTlLAR,ЗАКУСКИ,MEZELER,المقبلات,स्टार्टर्स,ENTRÉES,ANTIPASTI,Chicken Nuggets,Toyuq naqgetsləri,Куриные наггетсы,Tavuk nuggets,ناغتس الدجاج,चिकन नगेट्स,Nuggets de poulet,Nuggets di pollo,,,,,,,,,,
22,Bouillabaisse Seafood Soup,,,SOUPS,15.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,SOUPS,ŞORBALAR,СУПЫ,ÇORBALAR,الحساء,सूप,SOUPES,ZUPPE,Bouillabaisse Seafood Soup,Buyabes dəniz məhsulları şorbası,Буйабес с морепродуктами,Deniz ürünlü Bouillabaisse çorbası,حساء بوياباس المأكولات البحرية,बुयाबेस सीफूड सूप,Soupe de fruits de mer Bouillabaisse,Zuppa di frutti di mare Bouillabaisse,,,,,,,,,,
23,Dushbara,,,SOUPS,7.70,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,SOUPS,ŞORBALAR,СУПЫ,ÇORBALAR,الحساء,सूप,SOUPES,ZUPPE,Dushbara,Düşbərə,Дюшбара,Düşbere,دوشبارا,दुशबारा,Dushbara,Dushbara,,,,,,,,,,
24,Mushroom Soup,,,SOUPS,6.90,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,SOUPS,ŞORBALAR,СУПЫ,ÇORBALAR,الحساء,सूप,SOUPES,ZUPPE,Mushroom Soup,Göbələk şorbası,Грибной суп,Mantar çorbası,حساء الفطر,मशरूम सूप,Soupe aux champignons,Zuppa di funghi,,,,,,,,,,
25,Tomato Soup,,,SOUPS,7.50,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,SOUPS,ŞORBALAR,СУПЫ,ÇORBALAR,الحساء,सूप,SOUPES,ZUPPE,Tomato Soup,Tomat şorbası,Томатный суп,Domates çorbası,حساء الطماطم,टमाटर सूप,Soupe à la tomate,Zuppa di pomodoro,,,,,,,,,,
26,Chicken Soup,,,SOUPS,6.90,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,SOUPS,ŞORBALAR,СУПЫ,ÇORBALAR,الحساء,सूप,SOUPES,ZUPPE,Chicken Soup,Toyuq şorbası,Куриный суп,Tavuk çorbası,حساء الدجاج,चिकन सूप,Soupe au poulet,Zuppa di pollo,,,,,,,,,,
27,Lentil Soup,,,SOUPS,6.90,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,SOUPS,ŞORBALAR,СУПЫ,ÇORBALAR,الحساء,सूप,SOUPES,ZUPPE,Lentil Soup,Mərci şorbası,Чечевичный суп,Mercimek çorbası,حساء العدس,मसूर का सूप,Soupe aux lentilles,Zuppa di lenticchie,,,,,,,,,,
28,Shrimp Avocado Salad,,,SALADS,18.50,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,SALADS,SALATLAR,САЛАТЫ,SALATALAR,السلطات,सलाद,SALADES,INSALATE,Shrimp Avocado Salad,Krevetkalı avakado salatı,Салат с креветками и авокадо,Karidesli avokado salatası,سلطة الروبيان والأفوكادو,झींगा एवोकाडो सलाद,Salade d'avocat aux crevettes,Insalata di gamberetti e avocado,,,,,,,,,,
29,Caprese Salad,,,SALADS,20.90,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,SALADS,SALATLAR,САЛАТЫ,SALATALAR,السلطات,सलाद,SALADES,INSALATE,Caprese Salad,Salat caprese,Салат Капрезе,Caprese salatası,سلطة كابريزي,कैप्रीज सलाद,Salade Caprese,Insalata Caprese,,,,,,,,,,
30,Burrata Salad,,,SALADS,19.80,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,SALADS,SALATLAR,САЛАТЫ,SALATALAR,السلطات,सलाद,SALADES,INSALATE,Burrata Salad,Burrata salatı,Салат с бурратой,Burrata salatası,سلطة البوراتا,बुराटा सलाद,Salade de burrata,Insalata con burrata,,,,,,,,,,
31,Carpaccio,,,SALADS,18.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,SALADS,SALATLAR,САЛАТЫ,SALATALAR,السلطات,सलाद,SALADES,INSALATE,Carpaccio,Karpaço,Карпаччо,Carpaccio,كارباتشيو,कारपाचियो,Carpaccio,Carpaccio,,,,,,,,,,
32,Hot Fish Salad,,,SALADS,19.90,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,SALADS,SALATLAR,САЛАТЫ,SALATALAR,السلطات,सलाद,SALADES,INSALATE,Hot Fish Salad,İsti balıq salatı,Горячий рыбный салат,Sıcak balık salatası,سلطة السمك الساخنة,हॉट फिश सलाद,Salade chaude de poisson,Insalata calda di pesce,,,,,,,,,,
33,Special Hot Salad,,,SALADS,16.40,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,SALADS,SALATLAR,САЛАТЫ,SALATALAR,السلطات,सलाद,SALADES,INSALATE,Special Hot Salad,Xüsusi isti salat,Особый горячий салат,Özel sıcak salata,السلطة الساخنة الخاصة,स्पेशल हॉट सलाद,Salade chaude spéciale,Insalata calda speciale,,,,,,,,,,
34,Sesame Chicken Salad,,,SALADS,16.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,SALADS,SALATLAR,САЛАТЫ,SALATALAR,السلطات,सलाद,SALADES,INSALATE,Sesame Chicken Salad,Küncütlü toyuq salatı,Куриный салат с кунжутом,Susamlı tavuk salatası,سلطة الدجاج بالسمسم,तिल चिकन सलाद,Salade de poulet au sésame,Insalata di pollo al sesamo,,,,,,,,,,
35,Caesar Salad with Chicken,,,SALADS,16.40,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,SALADS,SALATLAR,САЛАТЫ,SALATALAR,السلطات,सलाद,SALADES,INSALATE,Caesar Salad with Chicken,Sezar salatı toyuqla,Салат Цезарь с курицей,Tavuklu Sezar salatası,سلطة سيزر بالدجاج,चिकन सीज़र सलाद,Salade César au poulet,Insalata Caesar con pollo,,,,,,,,,,
36,Caesar Salad with Shrimps,,,SALADS,18.70,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,SALADS,SALATLAR,САЛАТЫ,SALATALAR,السلطات,सलाद,SALADES,INSALATE,Caesar Salad with Shrimps,Sezar salatı krevetlə,Салат Цезарь с креветками,Karidesli Sezar salatası,سلطة سيزر بالروبيان,झींगा सीज़र सलाद,Salade César aux crevettes,Insalata Caesar con gamberetti,,,,,,,,,,
37,Mix Salad,,,SALADS,9.20,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,SALADS,SALATLAR,САЛАТЫ,SALATALAR,السلطات,सलाद,SALADES,INSALATE,Mix Salad,Qaşıq salatı,Микс-салат,Karışık salata,سلطة مشكلة,मिक्स सलाद,Salade mixte,Insalata mista,,,,,,,,,,
38,Tuna Fish Salad,,,SALADS,16.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,SALADS,SALATLAR,САЛАТЫ,SALATALAR,السلطات,सलाद,SALADES,INSALATE,Tuna Fish Salad,Ton balıq salatı,Салат с тунцом,Ton balıklı salata,سلطة التونة,टूना फिश सलाद,Salade de thon,Insalata di tonno,,,,,,,,,,
39,Eggplant Crunchy Salad,,,SALADS,11.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,SALADS,SALATLAR,САЛАТЫ,SALATALAR,السلطات,सलाद,SALADES,INSALATE,Eggplant Crunchy Salad,Badımcan xırt-xırt salatı,Хрустящий салат с баклажанами,Patlıcan çıtır salatası,سلطة الباذنجان المقرمشة,बैंगन क्रिस्पी सलाद,Salade croustillante d'aubergines,Insalata croccante di melanzane,,,,,,,,,,
40,Tomato Salad with Cornel Sauce,,,SALADS,11.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,SALADS,SALATLAR,САЛАТЫ,SALATALAR,السلطات,सलाद,SALADES,INSALATE,Tomato Salad with Cornel Sauce,Zoğal souslu pomidor salatı,Салат из помидоров с соусом из кизила,Kızılcık soslu domates salatası,سلطة الطماطم مع صلصة الكورنيل,कॉर्नेल सॉस के साथ टमाटर सलाद,Salade de tomates à la sauce cornouille,Insalata di pomodori con salsa di corniolo,,,,,,,,,,
41,Smoked Salmon Salad,,,SALADS,18.60,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,SALADS,SALATLAR,САЛАТЫ,SALATALAR,السلطات,सलाद,SALADES,INSALATE,Smoked Salmon Salad,Hisə verilmiş qızılbalıq salatı,Салат с копченым лососем,Füme somon salatası,سلطة السلمون المدخن,स्मोक्ड सैल्मन सलाद,Salade de saumon fumé,Insalata di salmone affumicato,,,,,,,,,,
42,Hot Chicken Salad,,,SALADS,14.50,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,SALADS,SALATLAR,САЛАТЫ,SALATALAR,السلطات,सलाद,SALADES,INSALATE,Hot Chicken Salad,İsti toyuq salatı,Горячий куриный салат,Sıcak tavuk salatası,سلطة الدجاج الساخنة,हॉट चिकन सलाद,Salade chaude de poulet,Insalata calda di pollo,,,,,,,,,,
43,Seafood Fettuccine,,,PASTA,20.50,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,PASTA,PASTALAR,ПАСТА,MAKARNALAR,المعكرونة,पास्ता,PÂTES,PASTA,Seafood Fettuccine,Dəniz məhsullu fettuçini,Феттучини с морепродуктами,Deniz ürünlü fettuccine,فيتوتشيني المأكولات البحرية,सीफूड फेट्टुचिनी,Fettuccine aux fruits de mer,Fettuccine ai frutti di mare,,,,,,,,,,
44,Chicken Penne,,,PASTA,16.40,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,PASTA,PASTALAR,ПАСТА,MAKARNALAR,المعكرونة,पास्ता,PÂTES,PASTA,Chicken Penne,Toyuqlu penne,Пенне с курицей,Tavuklu penne,بيني بالدجاج,चिकन पेन्ने,Penne au poulet,Penne al pollo,,,,,,,,,,
45,Penne Arrabbiata,,,PASTA,14.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,PASTA,PASTALAR,ПАСТА,MAKARNALAR,المعكرونة,पास्ता,PÂTES,PASTA,Penne Arrabbiata,Penne arabiata,Пенне Арабиата,Penne arrabiata,بيني أرابياتا,पेन्ने अराबिआता,Penne all'arrabbiata,Penne all'arrabbiata,,,,,,,,,,
46,Fettuccine Alfredo,,,PASTA,17.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,PASTA,PASTALAR,ПАСТА,MAKARNALAR,المعكرونة,पास्ता,PÂTES,PASTA,Fettuccine Alfredo,Fettuçini alfredo,Феттучини Альфредо,Fettuccine alfredo,فيتوتشيني ألفريدو,फेट्टुचिनी अल्फ्रेडो,Fettuccine Alfredo,Fettuccine Alfredo,,,,,,,,,,
47,Spaghetti Bolognese,,,PASTA,16.90,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,PASTA,PASTALAR,ПАСТА,MAKARNALAR,المعكرونة,पास्ता,PÂTES,PASTA,Spaghetti Bolognese,Spaqetti bolonez,Спагетти Болоньезе,Spagetti bolonez,سباغيتي بولونيز,स्पेगेटी बोलोनीज़,Spaghetti bolognaise,Spaghetti alla bolognese,,,,,,,,,,
48,Manti,,,PASTA,13.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,PASTA,PASTALAR,ПАСТА,MAKARNALAR,المعكرونة,पास्ता,PÂTES,PASTA,Manti,Mantı,Манты,Mantı,مانتي,मंती,Manti,Manti,,,,,,,,,,
49,Penne with Pesto Sauce,,,PASTA,16.40,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,PASTA,PASTALAR,ПАСТА,MAKARNALAR,المعكرونة,पास्ता,PÂTES,PASTA,Penne with Pesto Sauce,Pesta souslu penna,Пенне с соусом песто,Pesto soslu penne,بيني مع صلصة البيستو,पेस्टो सॉस के साथ पेन्ने,Penne à la sauce pesto,Penne al pesto,,,,,,,,,,
50,Enchiladas,,,BURGERS & ROLLS,11.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,BURGERS & ROLLS,BURGER VƏ ROLLAR,БУРГЕРЫ И РОЛЛЫ,BURGERLER VE SANDVİÇLER,البرغر والساندويتشات,बर्गर और रोल्स,BURGERS ET SANDWICHS,HAMBURGER E PANINI,Enchiladas,Ençilades,Энчиладас,Enchiladas,إنشيلاداس,एन्चिलादास,Enchiladas,Enchiladas,,,,,,,,,,
51,Hamburger,,,BURGERS & ROLLS,16.00,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,BURGERS & ROLLS,BURGER VƏ ROLLAR,БУРГЕРЫ И РОЛЛЫ,BURGERLER VE SANDVİÇLER,البرغر والساندويتشات,बर्गर और रोल्स,BURGERS ET SANDWICHS,HAMBURGER E PANINI,Hamburger,Hamburger,Гамбургер,Hamburger,هامبرغر,हैमबर्गर,Hamburger,Hamburger,,,,,,,,,,
52,Cheeseburger,,,BURGERS & ROLLS,17.60,,TRUE,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcWKAPNpBPrNwnMLN98hVyg5Vs1x3GOpALlg&s,,15,BURGERS & ROLLS,BURGER VƏ ROLLAR,БУРГЕРЫ И РОЛЛЫ,BURGERLER VE SANDVİÇLER,البرغر والساندويتشات,बर्गर और रोल्स,BURGERS ET SANDWICHS,HAMBURGER E PANINI,Cheeseburger,Çizburger,Чизбургер,Cheeseburger,تشيزبرغر,चीज़बर्गर,Cheeseburger,Cheeseburger,,,,,,,,,,
